iter	Passed	Remaining
0	147	146974
1	148	73888
2	148	49490
3	149	37289
4	150	29946
5	151	25053
6	152	21573
7	152	18964
8	153	16946
9	155	15348
10	156	14092
11	158	13011
12	159	12074
13	159	11266
14	161	10576
15	162	9982
16	163	9459
17	164	8982
18	165	8547
19	166	8154
20	167	7797
21	168	7474
22	169	7215
23	171	6966
24	172	6723
25	173	6492
26	174	6274
27	175	6077
28	176	5919
29	178	5767
30	179	5620
31	180	5472
32	182	5339
33	183	5210
34	184	5095
35	186	4981
36	187	4868
37	188	4760
38	189	4658
39	191	4590
40	192	4501
41	193	4413
42	194	4329
43	195	4248
44	196	4169
45	197	4095
46	199	4043
47	200	3980
48	201	3916
49	202	3851
50	203	3790
51	205	3738
52	206	3683
53	207	3628
54	207	3573
55	208	3520
56	209	3469
57	210	3419
58	211	3376
59	213	3350
60	214	3308
61	215	3266
62	216	3226
63	217	3186
64	218	3147
65	219	3109
66	220	3075
67	221	3042
68	222	3008
69	223	2974
70	224	2940
71	225	2906
72	226	2874
73	227	2850
74	228	2824
75	229	2796
76	230	2768
77	231	2740
78	233	2716
79	234	2692
80	235	2666
81	236	2643
82	236	2614
83	237	2589
84	238	2566
85	239	2543
86	240	2519
87	240	2496
88	242	2478
89	243	2460
90	244	2439
91	245	2418
92	245	2397
93	246	2378
94	247	2359
95	248	2342
96	249	2324
97	250	2306
98	251	2287
99	252	2269
100	252	2251
101	253	2234
102	254	2216
103	255	2200
104	256	2185
105	258	2178
106	259	2164
107	260	2148
108	261	2136
109	262	2123
110	263	2112
111	264	2099
112	265	2085
113	266	2073
114	267	2061
115	268	2048
116	269	2035
117	270	2023
118	272	2017
119	273	2007
120	275	1999
121	276	1987
122	277	1976
123	278	1965
124	279	1955
125	280	1946
126	281	1934
127	282	1924
128	283	1913
129	284	1902
130	285	1892
131	287	1890
132	288	1881
133	289	1871
134	290	1863
135	292	1857
136	293	1849
137	294	1839
138	295	1829
139	296	1820
140	297	1811
141	297	1800
142	298	1790
143	299	1781
144	302	1781
145	303	1776
146	304	1769
147	306	1762
148	307	1755
149	308	1747
150	309	1738
151	310	1730
152	311	1721
153	311	1713
154	312	1705
155	313	1697
156	314	1689
157	315	1681
158	316	1675
159	318	1669
160	318	1661
161	320	1655
162	321	1648
163	321	1640
164	322	1633
165	323	1625
166	324	1618
167	325	1611
168	326	1604
169	327	1597
170	327	1589
171	328	1582
172	329	1575
173	330	1569
174	331	1563
175	332	1558
176	333	1552
177	334	1546
178	335	1540
179	336	1534
180	337	1528
181	338	1522
182	339	1515
183	340	1509
184	341	1503
185	342	1496
186	343	1491
187	344	1485
188	345	1480
189	346	1478
190	348	1475
191	349	1471
192	350	1465
193	351	1459
194	352	1454
195	353	1448
196	353	1442
197	354	1436
198	355	1431
199	356	1425
200	357	1420
201	358	1414
202	358	1409
203	359	1403
204	360	1399
205	362	1396
206	363	1391
207	364	1386
208	364	1381
209	365	1376
210	366	1371
211	367	1366
212	368	1361
213	369	1355
214	370	1351
215	370	1345
216	371	1340
217	372	1335
218	373	1330
219	374	1326
220	375	1321
221	376	1320
222	377	1316
223	378	1311
224	379	1306
225	380	1302
226	380	1297
227	381	1292
228	382	1287
229	383	1282
230	383	1278
231	384	1273
232	385	1268
233	386	1263
234	386	1259
235	387	1254
236	388	1251
237	389	1247
238	390	1244
239	391	1240
240	393	1238
241	394	1234
242	394	1230
243	395	1226
244	396	1222
245	397	1218
246	398	1214
247	399	1210
248	400	1207
249	401	1203
250	401	1199
251	402	1195
252	403	1192
253	405	1189
254	406	1187
255	407	1185
256	408	1182
257	410	1179
258	410	1175
259	411	1172
260	413	1169
261	414	1166
262	415	1163
263	416	1159
264	416	1156
265	417	1152
266	418	1149
267	419	1145
268	420	1142
269	421	1139
270	422	1136
271	423	1132
272	424	1129
273	425	1126
274	425	1123
275	426	1119
276	427	1115
277	428	1111
278	428	1108
279	429	1104
280	430	1101
281	431	1097
282	431	1094
283	432	1090
284	433	1087
285	434	1083
286	435	1080
287	436	1078
288	437	1075
289	438	1072
290	438	1069
291	439	1066
292	440	1062
293	441	1059
294	441	1056
295	442	1053
296	443	1049
297	444	1046
298	444	1043
299	445	1039
300	446	1036
301	446	1033
302	447	1029
303	448	1026
304	449	1025
305	450	1022
306	451	1020
307	452	1017
308	453	1014
309	454	1011
310	455	1008
311	455	1005
312	456	1002
313	457	999
314	458	996
315	458	993
316	459	989
317	460	986
318	460	983
319	461	980
320	462	977
321	463	974
322	463	971
323	464	969
324	465	967
325	466	965
326	467	962
327	468	959
328	469	956
329	469	953
330	470	951
331	471	948
332	471	945
333	472	942
334	473	939
335	474	936
336	474	934
337	475	931
338	476	928
339	476	925
340	477	923
341	478	921
342	479	919
343	480	917
344	481	914
345	482	912
346	483	909
347	484	907
348	485	904
349	485	902
350	486	899
351	487	897
352	488	894
353	488	892
354	489	889
355	490	887
356	491	885
357	492	882
358	493	880
359	494	879
360	495	877
361	496	875
362	497	872
363	498	870
364	499	868
365	499	865
366	500	863
367	501	861
368	502	859
369	503	856
370	504	854
371	504	852
372	505	850
373	506	848
374	507	845
375	508	844
376	510	843
377	511	842
378	512	840
379	513	838
380	514	836
381	515	834
382	516	832
383	517	830
384	518	828
385	519	827
386	521	825
387	522	823
388	522	821
389	523	819
390	525	817
391	526	816
392	527	813
393	527	811
394	528	809
395	529	807
396	530	805
397	530	803
398	531	801
399	533	799
400	533	797
401	534	795
402	535	793
403	536	791
404	537	789
405	538	787
406	539	786
407	540	784
408	541	782
409	542	780
410	542	777
411	543	776
412	544	773
413	545	771
414	546	769
415	546	767
416	547	765
417	548	763
418	548	761
419	549	759
420	550	757
421	551	755
422	552	753
423	553	751
424	554	749
425	555	748
426	556	746
427	557	744
428	558	743
429	559	741
430	559	739
431	560	737
432	561	735
433	562	733
434	562	731
435	563	729
436	564	727
437	565	725
438	565	723
439	566	721
440	567	719
441	568	717
442	569	716
443	570	714
444	571	712
445	572	710
446	572	708
447	573	707
448	574	705
449	575	703
450	576	701
451	577	699
452	577	697
453	578	696
454	579	694
455	580	692
456	580	690
457	581	688
458	582	687
459	583	685
460	585	684
461	585	682
462	586	680
463	587	678
464	588	677
465	589	675
466	590	673
467	590	671
468	591	669
469	592	667
470	592	665
471	593	663
472	594	662
473	594	660
474	595	658
475	596	656
476	596	654
477	597	652
478	599	651
479	600	650
480	601	648
481	602	646
482	602	645
483	603	643
484	604	642
485	605	640
486	606	638
487	606	636
488	607	634
489	608	633
490	608	631
491	609	629
492	610	627
493	611	625
494	611	624
495	612	622
496	613	621
497	614	619
498	615	618
499	616	616
500	617	614
501	618	613
502	618	611
503	619	609
504	620	607
505	620	606
506	621	604
507	622	602
508	623	601
509	623	599
510	624	597
511	625	595
512	626	594
513	626	592
514	627	591
515	629	590
516	630	588
517	630	586
518	631	585
519	632	583
520	633	582
521	633	580
522	634	578
523	635	577
524	636	575
525	636	573
526	637	572
527	638	570
528	638	568
529	639	567
530	640	565
531	641	563
532	641	562
533	642	561
534	644	559
535	644	558
536	645	556
537	646	555
538	647	553
539	648	552
540	648	550
541	649	548
542	650	547
543	651	545
544	651	544
545	652	542
546	653	540
547	653	539
548	654	537
549	655	536
550	655	534
551	656	532
552	657	531
553	658	530
554	659	529
555	660	527
556	661	526
557	662	524
558	662	522
559	663	521
560	664	519
561	664	518
562	665	516
563	666	515
564	666	513
565	667	511
566	668	510
567	669	508
568	669	507
569	670	505
570	671	504
571	672	502
572	673	501
573	673	500
574	674	498
575	675	497
576	676	495
577	676	494
578	677	492
579	678	491
580	678	489
581	679	488
582	680	486
583	681	485
584	681	483
585	682	482
586	683	480
587	683	479
588	684	477
589	685	476
590	686	474
591	686	473
592	687	472
593	688	470
594	689	469
595	690	467
596	691	466
597	691	465
598	692	463
599	693	462
600	693	460
601	694	459
602	695	457
603	696	456
604	696	454
605	697	453
606	698	452
607	698	450
608	699	449
609	700	447
610	701	446
611	701	444
612	703	443
613	704	442
614	704	441
615	705	439
616	706	438
617	707	437
618	708	435
619	708	434
620	709	433
621	710	431
622	710	430
623	711	428
624	712	427
625	713	426
626	713	424
627	714	423
628	715	421
629	715	420
630	716	419
631	717	417
632	718	416
633	719	415
634	720	414
635	721	412
636	721	411
637	722	410
638	723	408
639	724	407
640	724	406
641	725	404
642	726	403
643	727	402
644	728	401
645	729	399
646	731	398
647	733	398
648	734	397
649	735	396
650	736	395
651	738	393
652	739	392
653	740	391
654	741	390
655	742	389
656	743	387
657	743	386
658	744	385
659	745	384
660	747	383
661	748	382
662	749	380
663	750	379
664	751	378
665	752	377
666	753	376
667	754	374
668	755	373
669	756	372
670	757	371
671	757	369
672	758	368
673	759	367
674	760	366
675	761	365
676	762	363
677	763	362
678	764	361
679	765	360
680	765	358
681	766	357
682	767	356
683	768	355
684	769	353
685	770	352
686	770	351
687	771	349
688	772	348
689	773	347
690	774	346
691	775	345
692	776	343
693	777	342
694	778	341
695	779	340
696	780	339
697	781	338
698	782	336
699	782	335
700	783	334
701	784	333
702	785	331
703	786	330
704	787	329
705	788	328
706	788	326
707	789	325
708	790	324
709	792	323
710	793	322
711	794	321
712	795	320
713	796	319
714	797	317
715	798	316
716	799	315
717	799	314
718	800	312
719	801	311
720	802	310
721	803	309
722	804	308
723	804	306
724	805	305
725	807	304
726	807	303
727	808	302
728	809	300
729	810	299
730	811	298
731	812	297
732	812	296
733	813	294
734	814	293
735	815	292
736	816	291
737	817	290
738	817	288
739	818	287
740	819	286
741	820	285
742	821	284
743	822	282
744	823	281
745	824	280
746	825	279
747	825	278
748	826	277
749	827	275
750	828	274
751	829	273
752	830	272
753	831	271
754	832	270
755	832	268
756	833	267
757	834	266
758	835	265
759	836	264
760	837	262
761	838	261
762	839	260
763	839	259
764	840	258
765	841	257
766	842	255
767	843	254
768	843	253
769	844	252
770	845	251
771	846	249
772	847	248
773	848	247
774	848	246
775	849	245
776	850	244
777	851	243
778	852	241
779	853	240
780	854	239
781	855	238
782	856	237
783	856	236
784	857	234
785	858	233
786	859	232
787	860	231
788	860	230
789	861	229
790	862	227
791	863	226
792	864	225
793	864	224
794	866	223
795	867	222
796	868	221
797	868	219
798	869	218
799	870	217
800	871	216
801	872	215
802	872	214
803	873	212
804	874	211
805	875	210
806	875	209
807	876	208
808	877	207
809	878	206
810	878	204
811	879	203
812	880	202
813	881	201
814	882	200
815	883	199
816	884	198
817	885	196
818	886	195
819	887	194
820	887	193
821	888	192
822	889	191
823	890	190
824	891	189
825	891	187
826	892	186
827	893	185
828	894	184
829	895	183
830	895	182
831	896	181
832	897	179
833	898	178
834	899	177
835	900	176
836	900	175
837	901	174
838	902	173
839	903	172
840	904	171
841	905	169
842	906	168
843	907	167
844	907	166
845	908	165
846	909	164
847	910	163
848	910	162
849	912	160
850	912	159
851	913	158
852	914	157
853	915	156
854	916	155
855	917	154
856	918	153
857	918	152
858	919	150
859	920	149
860	921	148
861	921	147
862	922	146
863	923	145
864	924	144
865	925	143
866	926	142
867	927	141
868	928	139
869	929	138
870	929	137
871	930	136
872	931	135
873	932	134
874	933	133
875	933	132
876	934	131
877	935	129
878	936	128
879	937	127
880	938	126
881	938	125
882	939	124
883	940	123
884	941	122
885	942	121
886	943	120
887	944	119
888	945	118
889	946	116
890	947	115
891	948	114
892	949	113
893	950	112
894	951	111
895	952	110
896	953	109
897	954	108
898	955	107
899	956	106
900	958	105
901	958	104
902	960	103
903	961	102
904	962	100
905	962	99
906	963	98
907	965	97
908	966	96
909	966	95
910	967	94
911	968	93
912	969	92
913	970	91
914	972	90
915	973	89
916	974	88
917	974	87
918	975	86
919	976	84
920	977	83
921	978	82
922	979	81
923	979	80
924	980	79
925	981	78
926	982	77
927	983	76
928	983	75
929	984	74
930	985	73
931	987	72
932	988	70
933	988	69
934	989	68
935	990	67
936	991	66
937	992	65
938	993	64
939	994	63
940	995	62
941	996	61
942	997	60
943	998	59
944	999	58
945	1000	57
946	1001	56
947	1002	55
948	1003	53
949	1004	52
950	1005	51
951	1006	50
952	1007	49
953	1007	48
954	1008	47
955	1009	46
956	1010	45
957	1010	44
958	1011	43
959	1012	42
960	1013	41
961	1014	40
962	1014	38
963	1015	37
964	1016	36
965	1017	35
966	1018	34
967	1019	33
968	1019	32
969	1020	31
970	1021	30
971	1022	29
972	1023	28
973	1024	27
974	1024	26
975	1025	25
976	1026	24
977	1027	23
978	1027	22
979	1028	20
980	1029	19
981	1030	18
982	1031	17
983	1032	16
984	1033	15
985	1034	14
986	1035	13
987	1036	12
988	1036	11
989	1037	10
990	1038	9
991	1039	8
992	1039	7
993	1040	6
994	1041	5
995	1042	4
996	1043	3
997	1043	2
998	1044	1
999	1046	0
